Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/kg)	Enthalpy (l+v, kJ/kg)	Entropy (l+v, J/g*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
273.16	0.092437	undefined	2448.2	3575.5	52.507	0.082000	12.195	2448.2	3575.5	52.507	10.071	14.197	1261.0	-0.24732	8.3772e-06	0.17345	0.082000	12.195	2448.2	3575.5	52.507	10.071	14.197	1261.0	-0.24732	8.3772e-06	0.17345
278.16	0.094130	undefined	2498.7	3646.6	52.690	0.082000	12.195	2498.7	3646.6	52.690	10.096	14.223	1272.0	-0.25864	8.4830e-06	0.17598	0.082000	12.195	2498.7	3646.6	52.690	10.096	14.223	1272.0	-0.25864	8.4830e-06	0.17598
283.16	0.095822	undefined	2549.2	3717.8	52.870	0.082000	12.195	2549.2	3717.8	52.870	10.119	14.246	1283.0	-0.26948	8.5882e-06	0.17847	0.082000	12.195	2549.2	3717.8	52.870	10.119	14.246	1283.0	-0.26948	8.5882e-06	0.17847
288.16	0.097515	undefined	2599.9	3789.1	53.047	0.082000	12.195	2599.9	3789.1	53.047	10.141	14.268	1293.9	-0.27987	8.6929e-06	0.18095	0.082000	12.195	2599.9	3789.1	53.047	10.141	14.268	1293.9	-0.27987	8.6929e-06	0.18095
293.16	0.099207	undefined	2650.6	3860.5	53.222	0.082000	12.195	2650.6	3860.5	53.222	10.161	14.288	1304.7	-0.28984	8.7970e-06	0.18339	0.082000	12.195	2650.6	3860.5	53.222	10.161	14.288	1304.7	-0.28984	8.7970e-06	0.18339
298.16	0.10090	undefined	2701.5	3931.9	53.394	0.082000	12.195	2701.5	3931.9	53.394	10.180	14.306	1315.4	-0.29942	8.9005e-06	0.18581	0.082000	12.195	2701.5	3931.9	53.394	10.180	14.306	1315.4	-0.29942	8.9005e-06	0.18581
303.16	0.10259	undefined	2752.4	4003.5	53.563	0.082000	12.195	2752.4	4003.5	53.563	10.197	14.324	1326.1	-0.30862	9.0035e-06	0.18821	0.082000	12.195	2752.4	4003.5	53.563	10.197	14.324	1326.1	-0.30862	9.0035e-06	0.18821
308.16	0.10428	undefined	2803.4	4075.2	53.730	0.082000	12.195	2803.4	4075.2	53.730	10.213	14.339	1336.7	-0.31748	9.1060e-06	0.19059	0.082000	12.195	2803.4	4075.2	53.730	10.213	14.339	1336.7	-0.31748	9.1060e-06	0.19059
313.16	0.10598	undefined	2854.5	4146.9	53.895	0.082000	12.195	2854.5	4146.9	53.895	10.228	14.354	1347.2	-0.32601	9.2080e-06	0.19295	0.082000	12.195	2854.5	4146.9	53.895	10.228	14.354	1347.2	-0.32601	9.2080e-06	0.19295
318.16	0.10767	undefined	2905.7	4218.7	54.057	0.082000	12.195	2905.7	4218.7	54.057	10.241	14.367	1357.6	-0.33422	9.3094e-06	0.19528	0.082000	12.195	2905.7	4218.7	54.057	10.241	14.367	1357.6	-0.33422	9.3094e-06	0.19528
