Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/kg)	Enthalpy (l+v, kJ/kg)	Entropy (l+v, J/g*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
278.16	0.16953	undefined	21.060	21.230	0.076402	1000.0	0.0010000	21.060	21.230	0.076402	4.2046	4.2047	1426.3	-0.23674	0.0015176	0.56786	1000.0	0.0010000	21.060	21.230	0.076402	4.2046	4.2047	1426.3	-0.23674	0.0015176	0.56786
283.16	0.72615	undefined	42.044	42.770	0.15117	1000.0	0.0010000	42.044	42.770	0.15117	4.1880	4.1928	1448.3	-0.23246	0.0013050	0.57921	1000.0	0.0010000	42.044	42.770	0.15117	4.1880	4.1928	1448.3	-0.23246	0.0013050	0.57921
288.16	2.0306	undefined	62.933	64.964	0.22430	1000.0	0.0010000	62.933	64.964	0.22430	4.1671	4.1819	1469.1	-0.22847	0.0011362	0.59001	1000.0	0.0010000	62.933	64.964	0.22430	4.1671	4.1819	1469.1	-0.22847	0.0011362	0.59001
293.16	4.0361	undefined	83.709	87.745	0.29578	1000.0	0.0010000	83.709	87.745	0.29578	4.1427	4.1719	1488.9	-0.22475	0.0010002	0.60033	1000.0	0.0010000	83.709	87.745	0.29578	4.1427	4.1719	1488.9	-0.22475	0.0010002	0.60033
298.16	6.6973	undefined	104.36	111.05	0.36562	1000.0	0.0010000	104.36	111.05	0.36562	4.1157	4.1627	1507.8	-0.22127	0.00088898	0.61024	1000.0	0.0010000	104.36	111.05	0.36562	4.1157	4.1627	1507.8	-0.22127	0.00088898	0.61024
303.16	9.9707	undefined	124.86	134.83	0.43382	1000.0	0.0010000	124.86	134.83	0.43382	4.0866	4.1539	1525.9	-0.21802	0.00079697	0.61977	1000.0	0.0010000	124.86	134.83	0.43382	4.0866	4.1539	1525.9	-0.21802	0.00079697	0.61977
308.16	13.815	undefined	145.22	159.03	0.50042	1000.0	0.0010000	145.22	159.03	0.50042	4.0559	4.1455	1543.3	-0.21497	0.00072003	0.62897	1000.0	0.0010000	145.22	159.03	0.50042	4.0559	4.1455	1543.3	-0.21497	0.00072003	0.62897
313.16	18.189	undefined	165.42	183.61	0.56545	1000.0	0.0010000	165.42	183.61	0.56545	4.0240	4.1373	1560.2	-0.21212	0.00065508	0.63788	1000.0	0.0010000	165.42	183.61	0.56545	4.0240	4.1373	1560.2	-0.21212	0.00065508	0.63788
318.16	23.058	undefined	185.46	208.52	0.62893	1000.0	0.0010000	185.46	208.52	0.62893	3.9913	4.1293	1576.6	-0.20944	0.00059979	0.64653	1000.0	0.0010000	185.46	208.52	0.62893	3.9913	4.1293	1576.6	-0.20944	0.00059979	0.64653
323.16	28.384	undefined	205.33	233.72	0.69091	1000.0	0.0010000	205.33	233.72	0.69091	3.9581	4.1212	1592.5	-0.20694	0.00055237	0.65494	1000.0	0.0010000	205.33	233.72	0.69091	3.9581	4.1212	1592.5	-0.20694	0.00055237	0.65494
328.16	34.136	undefined	225.04	259.18	0.75143	1000.0	0.0010000	225.04	259.18	0.75143	3.9246	4.1132	1608.0	-0.20461	0.00051142	0.66315	1000.0	0.0010000	225.04	259.18	0.75143	3.9246	4.1132	1608.0	-0.20461	0.00051142	0.66315
333.16	40.284	undefined	244.58	284.86	0.81052	1000.0	0.0010000	244.58	284.86	0.81052	3.8910	4.1051	1623.2	-0.20242	0.00047586	0.67116	1000.0	0.0010000	244.58	284.86	0.81052	3.8910	4.1051	1623.2	-0.20242	0.00047586	0.67116
338.16	46.797	undefined	263.95	310.75	0.86823	1000.0	0.0010000	263.95	310.75	0.86823	3.8575	4.0970	1638.0	-0.20038	0.00044479	0.67900	1000.0	0.0010000	263.95	310.75	0.86823	3.8575	4.0970	1638.0	-0.20038	0.00044479	0.67900
343.16	53.650	undefined	283.15	336.80	0.92461	1000.0	0.0010000	283.15	336.80	0.92461	3.8242	4.0887	1652.5	-0.19847	0.00041753	0.68669	1000.0	0.0010000	283.15	336.80	0.92461	3.8242	4.0887	1652.5	-0.19847	0.00041753	0.68669
348.16	60.819	undefined	302.19	363.01	0.97969	1000.0	0.0010000	302.19	363.01	0.97969	3.7914	4.0804	1666.8	-0.19669	0.00039349	0.69423	1000.0	0.0010000	302.19	363.01	0.97969	3.7914	4.0804	1666.8	-0.19669	0.00039349	0.69423
353.16	68.281	undefined	321.07	389.35	1.0335	1000.0	0.0010000	321.07	389.35	1.0335	3.7590	4.0719	1680.8	-0.19503	0.00037221	0.70164	1000.0	0.0010000	321.07	389.35	1.0335	3.7590	4.0719	1680.8	-0.19503	0.00037221	0.70164
358.16	76.015	undefined	339.78	415.80	1.0861	1000.0	0.0010000	339.78	415.80	1.0861	3.7271	4.0634	1694.6	-0.19347	0.00035331	0.70893	1000.0	0.0010000	339.78	415.80	1.0861	3.7271	4.0634	1694.6	-0.19347	0.00035331	0.70893
363.16	84.002	undefined	358.34	442.34	1.1376	1000.0	0.0010000	358.34	442.34	1.1376	3.6959	4.0549	1708.1	-0.19202	0.00033645	0.71611	1000.0	0.0010000	358.34	442.34	1.1376	3.6959	4.0549	1708.1	-0.19202	0.00033645	0.71611
368.16	92.223	undefined	376.74	468.96	1.1879	1000.0	0.0010000	376.74	468.96	1.1879	3.6653	4.0462	1721.5	-0.19066	0.00032138	0.72318	1000.0	0.0010000	376.74	468.96	1.1879	3.6653	4.0462	1721.5	-0.19066	0.00032138	0.72318
373.16	100.66	undefined	394.99	495.66	1.2372	1000.0	0.0010000	394.99	495.66	1.2372	3.6355	4.0376	1734.6	-0.18939	0.00030786	0.73014	1000.0	0.0010000	394.99	495.66	1.2372	3.6355	4.0376	1734.6	-0.18939	0.00030786	0.73014
