Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/kg)	Enthalpy (l+v, kJ/kg)	Entropy (l+v, J/g*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
273.16	0.092896	undefined	177.18	248.09	6.3494	1.3100	0.76336	177.18	248.09	6.3494	0.65520	0.91655	314.82	3.1723	1.9142e-05	0.024346	1.3100	0.76336	177.18	248.09	6.3494	0.65520	0.91655	314.82	3.1723	1.9142e-05	0.024346
278.16	0.094601	undefined	180.46	252.67	6.3613	1.3100	0.76336	180.46	252.67	6.3613	0.65577	0.91708	317.66	3.0665	1.9428e-05	0.024749	1.3100	0.76336	180.46	252.67	6.3613	0.65577	0.91708	317.66	3.0665	1.9428e-05	0.024749
283.16	0.096307	undefined	183.74	257.25	6.3730	1.3100	0.76336	183.74	257.25	6.3730	0.65638	0.91765	320.47	2.9651	1.9711e-05	0.025150	1.3100	0.76336	183.74	257.25	6.3730	0.65638	0.91765	320.47	2.9651	1.9711e-05	0.025150
288.16	0.098012	undefined	187.02	261.84	6.3845	1.3100	0.76336	187.02	261.84	6.3845	0.65703	0.91827	323.25	2.8679	1.9993e-05	0.025549	1.3100	0.76336	187.02	261.84	6.3845	0.65703	0.91827	323.25	2.8679	1.9993e-05	0.025549
293.16	0.099717	undefined	190.31	266.43	6.3958	1.3100	0.76336	190.31	266.43	6.3958	0.65772	0.91893	326.00	2.7746	2.0273e-05	0.025946	1.3100	0.76336	190.31	266.43	6.3958	0.65772	0.91893	326.00	2.7746	2.0273e-05	0.025946
298.16	0.10142	undefined	193.60	271.02	6.4069	1.3100	0.76336	193.60	271.02	6.4069	0.65845	0.91963	328.73	2.6850	2.0551e-05	0.026341	1.3100	0.76336	193.60	271.02	6.4069	0.65845	0.91963	328.73	2.6850	2.0551e-05	0.026341
303.16	0.10313	undefined	196.89	275.61	6.4179	1.3100	0.76336	196.89	275.61	6.4179	0.65922	0.92037	331.43	2.5989	2.0827e-05	0.026735	1.3100	0.76336	196.89	275.61	6.4179	0.65922	0.92037	331.43	2.5989	2.0827e-05	0.026735
308.16	0.10483	undefined	200.19	280.21	6.4287	1.3100	0.76336	200.19	280.21	6.4287	0.66004	0.92116	334.10	2.5161	2.1101e-05	0.027127	1.3100	0.76336	200.19	280.21	6.4287	0.66004	0.92116	334.10	2.5161	2.1101e-05	0.027127
313.16	0.10654	undefined	203.49	284.82	6.4393	1.3100	0.76336	203.49	284.82	6.4393	0.66089	0.92198	336.74	2.4364	2.1373e-05	0.027517	1.3100	0.76336	203.49	284.82	6.4393	0.66089	0.92198	336.74	2.4364	2.1373e-05	0.027517
318.16	0.10824	undefined	206.80	289.43	6.4498	1.3100	0.76336	206.80	289.43	6.4498	0.66178	0.92285	339.36	2.3597	2.1644e-05	0.027905	1.3100	0.76336	206.80	289.43	6.4498	0.66178	0.92285	339.36	2.3597	2.1644e-05	0.027905
323.16	0.10995	undefined	210.11	294.04	6.4601	1.3100	0.76336	210.11	294.04	6.4601	0.66272	0.92375	341.96	2.2857	2.1913e-05	0.028292	1.3100	0.76336	210.11	294.04	6.4601	0.66272	0.92375	341.96	2.2857	2.1913e-05	0.028292
328.16	0.11165	undefined	213.43	298.66	6.4703	1.3100	0.76336	213.43	298.66	6.4703	0.66368	0.92470	344.53	2.2144	2.2180e-05	0.028677	1.3100	0.76336	213.43	298.66	6.4703	0.66368	0.92470	344.53	2.2144	2.2180e-05	0.028677
333.16	0.11336	undefined	216.75	303.28	6.4803	1.3100	0.76336	216.75	303.28	6.4803	0.66469	0.92568	347.08	2.1456	2.2446e-05	0.029060	1.3100	0.76336	216.75	303.28	6.4803	0.66469	0.92568	347.08	2.1456	2.2446e-05	0.029060
338.16	0.11506	undefined	220.07	307.91	6.4903	1.3100	0.76336	220.07	307.91	6.4903	0.66573	0.92670	349.60	2.0792	2.2710e-05	0.029442	1.3100	0.76336	220.07	307.91	6.4903	0.66573	0.92670	349.60	2.0792	2.2710e-05	0.029442
343.16	0.11677	undefined	223.40	312.54	6.5000	1.3100	0.76336	223.40	312.54	6.5000	0.66681	0.92775	352.11	2.0151	2.2972e-05	0.029822	1.3100	0.76336	223.40	312.54	6.5000	0.66681	0.92775	352.11	2.0151	2.2972e-05	0.029822
348.16	0.11847	undefined	226.74	317.18	6.5097	1.3100	0.76336	226.74	317.18	6.5097	0.66792	0.92884	354.58	1.9532	2.3232e-05	0.030201	1.3100	0.76336	226.74	317.18	6.5097	0.66792	0.92884	354.58	1.9532	2.3232e-05	0.030201
353.16	0.12018	undefined	230.08	321.82	6.5192	1.3100	0.76336	230.08	321.82	6.5192	0.66907	0.92997	357.04	1.8933	2.3491e-05	0.030578	1.3100	0.76336	230.08	321.82	6.5192	0.66907	0.92997	357.04	1.8933	2.3491e-05	0.030578
358.16	0.12188	undefined	233.43	326.47	6.5286	1.3100	0.76336	233.43	326.47	6.5286	0.67025	0.93113	359.48	1.8354	2.3749e-05	0.030953	1.3100	0.76336	233.43	326.47	6.5286	0.67025	0.93113	359.48	1.8354	2.3749e-05	0.030953
363.16	0.12359	undefined	236.79	331.13	6.5379	1.3100	0.76336	236.79	331.13	6.5379	0.67146	0.93232	361.89	1.7794	2.4005e-05	0.031327	1.3100	0.76336	236.79	331.13	6.5379	0.67146	0.93232	361.89	1.7794	2.4005e-05	0.031327
368.16	0.12529	undefined	240.15	335.79	6.5471	1.3100	0.76336	240.15	335.79	6.5471	0.67269	0.93353	364.29	1.7252	2.4259e-05	0.031700	1.3100	0.76336	240.15	335.79	6.5471	0.67269	0.93353	364.29	1.7252	2.4259e-05	0.031700
373.16	0.12700	undefined	243.51	340.46	6.5562	1.3100	0.76336	243.51	340.46	6.5562	0.67396	0.93478	366.66	1.6727	2.4512e-05	0.032071	1.3100	0.76336	243.51	340.46	6.5562	0.67396	0.93478	366.66	1.6727	2.4512e-05	0.032071
378.16	0.12870	undefined	246.89	345.13	6.5652	1.3100	0.76336	246.89	345.13	6.5652	0.67526	0.93606	369.02	1.6219	2.4764e-05	0.032441	1.3100	0.76336	246.89	345.13	6.5652	0.67526	0.93606	369.02	1.6219	2.4764e-05	0.032441
383.16	0.13041	undefined	250.27	349.81	6.5741	1.3100	0.76336	250.27	349.81	6.5741	0.67658	0.93736	371.36	1.5727	2.5014e-05	0.032810	1.3100	0.76336	250.27	349.81	6.5741	0.67658	0.93736	371.36	1.5727	2.5014e-05	0.032810
388.16	0.13211	undefined	253.65	354.50	6.5828	1.3100	0.76336	253.65	354.50	6.5828	0.67792	0.93869	373.67	1.5249	2.5263e-05	0.033177	1.3100	0.76336	253.65	354.50	6.5828	0.67792	0.93869	373.67	1.5249	2.5263e-05	0.033177
393.16	0.13382	undefined	257.04	359.20	6.5915	1.3100	0.76336	257.04	359.20	6.5915	0.67929	0.94005	375.97	1.4787	2.5510e-05	0.033542	1.3100	0.76336	257.04	359.20	6.5915	0.67929	0.94005	375.97	1.4787	2.5510e-05	0.033542
398.16	0.13552	undefined	260.44	363.90	6.6001	1.3100	0.76336	260.44	363.90	6.6001	0.68068	0.94142	378.25	1.4338	2.5756e-05	0.033907	1.3100	0.76336	260.44	363.90	6.6001	0.68068	0.94142	378.25	1.4338	2.5756e-05	0.033907
403.16	0.13723	undefined	263.85	368.60	6.6086	1.3100	0.76336	263.85	368.60	6.6086	0.68210	0.94282	380.52	1.3903	2.6000e-05	0.034270	1.3100	0.76336	263.85	368.60	6.6086	0.68210	0.94282	380.52	1.3903	2.6000e-05	0.034270
